model,valid_auc,valid_logloss,test_auc,test_logloss
LogisticRegression,0.5170800165974823,0.5696845028572909,0.5138738965398076,0.5703049818337226
XGBoost,0.7681736690371133,0.47503008364864624,0.771515217273911,0.4726107932921033
DeepFM,0.7790635452270926,,0.7823574549995584,0.4649397093389935
